FA/FD/FR,Case No,status,time,commands,energy
FA,FA001,File Not Found,-1,-1,-1
FA,FA002,File Not Found,-1,-1,-1
FA,FA003,File Not Found,-1,-1,-1
FA,FA004,File Not Found,-1,-1,-1
FA,FA005,File Not Found,-1,-1,-1
FA,FA006,File Not Found,-1,-1,-1
FA,FA007,File Not Found,-1,-1,-1
FA,FA008,File Not Found,-1,-1,-1
FA,FA009,File Not Found,-1,-1,-1
FA,FA010,File Not Found,-1,-1,-1
FA,FA011,File Not Found,-1,-1,-1
FA,FA012,File Not Found,-1,-1,-1
FA,FA013,File Not Found,-1,-1,-1
FA,FA014,File Not Found,-1,-1,-1
FA,FA015,File Not Found,-1,-1,-1
FA,FA016,File Not Found,-1,-1,-1
FA,FA017,File Not Found,-1,-1,-1
FA,FA018,File Not Found,-1,-1,-1
FA,FA019,File Not Found,-1,-1,-1
FA,FA020,File Not Found,-1,-1,-1
FA,FA021,File Not Found,-1,-1,-1
FA,FA022,File Not Found,-1,-1,-1
FA,FA023,File Not Found,-1,-1,-1
FA,FA024,File Not Found,-1,-1,-1
FA,FA025,File Not Found,-1,-1,-1
FA,FA026,File Not Found,-1,-1,-1
FA,FA027,File Not Found,-1,-1,-1
FA,FA028,File Not Found,-1,-1,-1
FA,FA029,File Not Found,-1,-1,-1
FA,FA030,File Not Found,-1,-1,-1
FA,FA031,File Not Found,-1,-1,-1
FA,FA032,File Not Found,-1,-1,-1
FA,FA033,File Not Found,-1,-1,-1
FA,FA034,File Not Found,-1,-1,-1
FA,FA035,File Not Found,-1,-1,-1
FA,FA036,File Not Found,-1,-1,-1
FA,FA037,File Not Found,-1,-1,-1
FA,FA038,File Not Found,-1,-1,-1
FA,FA039,File Not Found,-1,-1,-1
FA,FA040,File Not Found,-1,-1,-1
FA,FA041,File Not Found,-1,-1,-1
FA,FA042,File Not Found,-1,-1,-1
FA,FA043,File Not Found,-1,-1,-1
FA,FA044,File Not Found,-1,-1,-1
FA,FA045,File Not Found,-1,-1,-1
FA,FA046,File Not Found,-1,-1,-1
FA,FA047,File Not Found,-1,-1,-1
FA,FA048,File Not Found,-1,-1,-1
FA,FA049,File Not Found,-1,-1,-1
FA,FA050,File Not Found,-1,-1,-1
FA,FA051,File Not Found,-1,-1,-1
FA,FA052,File Not Found,-1,-1,-1
FA,FA053,File Not Found,-1,-1,-1
FA,FA054,File Not Found,-1,-1,-1
FA,FA055,File Not Found,-1,-1,-1
FA,FA056,File Not Found,-1,-1,-1
FA,FA057,File Not Found,-1,-1,-1
FA,FA058,File Not Found,-1,-1,-1
FA,FA059,File Not Found,-1,-1,-1
FA,FA060,File Not Found,-1,-1,-1
FA,FA061,File Not Found,-1,-1,-1
FA,FA062,File Not Found,-1,-1,-1
FA,FA063,File Not Found,-1,-1,-1
FA,FA064,File Not Found,-1,-1,-1
FA,FA065,File Not Found,-1,-1,-1
FA,FA066,File Not Found,-1,-1,-1
FA,FA067,File Not Found,-1,-1,-1
FA,FA068,File Not Found,-1,-1,-1
FA,FA069,File Not Found,-1,-1,-1
FA,FA070,File Not Found,-1,-1,-1
FA,FA071,File Not Found,-1,-1,-1
FA,FA072,File Not Found,-1,-1,-1
FA,FA073,File Not Found,-1,-1,-1
FA,FA074,File Not Found,-1,-1,-1
FA,FA075,File Not Found,-1,-1,-1
FA,FA076,File Not Found,-1,-1,-1
FA,FA077,File Not Found,-1,-1,-1
FA,FA078,File Not Found,-1,-1,-1
FA,FA079,File Not Found,-1,-1,-1
FA,FA080,File Not Found,-1,-1,-1
FA,FA081,File Not Found,-1,-1,-1
FA,FA082,File Not Found,-1,-1,-1
FA,FA083,File Not Found,-1,-1,-1
FA,FA084,File Not Found,-1,-1,-1
FA,FA085,File Not Found,-1,-1,-1
FA,FA086,File Not Found,-1,-1,-1
FA,FA087,File Not Found,-1,-1,-1
FA,FA088,File Not Found,-1,-1,-1
FA,FA089,File Not Found,-1,-1,-1
FA,FA090,File Not Found,-1,-1,-1
FA,FA091,File Not Found,-1,-1,-1
FA,FA092,File Not Found,-1,-1,-1
FA,FA093,File Not Found,-1,-1,-1
FA,FA094,File Not Found,-1,-1,-1
FA,FA095,File Not Found,-1,-1,-1
FA,FA096,File Not Found,-1,-1,-1
FA,FA097,File Not Found,-1,-1,-1
FA,FA098,File Not Found,-1,-1,-1
FA,FA099,File Not Found,-1,-1,-1
FA,FA100,File Not Found,-1,-1,-1
FA,FA101,File Not Found,-1,-1,-1
FA,FA102,File Not Found,-1,-1,-1
FA,FA103,File Not Found,-1,-1,-1
FA,FA104,File Not Found,-1,-1,-1
FA,FA105,File Not Found,-1,-1,-1
FA,FA106,File Not Found,-1,-1,-1
FA,FA107,File Not Found,-1,-1,-1
FA,FA108,File Not Found,-1,-1,-1
FA,FA109,File Not Found,-1,-1,-1
FA,FA110,File Not Found,-1,-1,-1
FA,FA111,File Not Found,-1,-1,-1
FA,FA112,File Not Found,-1,-1,-1
FA,FA113,File Not Found,-1,-1,-1
FA,FA114,File Not Found,-1,-1,-1
FA,FA115,File Not Found,-1,-1,-1
FA,FA116,File Not Found,-1,-1,-1
FA,FA117,File Not Found,-1,-1,-1
FA,FA118,File Not Found,-1,-1,-1
FA,FA119,File Not Found,-1,-1,-1
FA,FA120,File Not Found,-1,-1,-1
FA,FA121,File Not Found,-1,-1,-1
FA,FA122,File Not Found,-1,-1,-1
FA,FA123,File Not Found,-1,-1,-1
FA,FA124,File Not Found,-1,-1,-1
FA,FA125,File Not Found,-1,-1,-1
FA,FA126,File Not Found,-1,-1,-1
FA,FA127,File Not Found,-1,-1,-1
FA,FA128,File Not Found,-1,-1,-1
FA,FA129,File Not Found,-1,-1,-1
FA,FA130,File Not Found,-1,-1,-1
FA,FA131,File Not Found,-1,-1,-1
FA,FA132,File Not Found,-1,-1,-1
FA,FA133,File Not Found,-1,-1,-1
FA,FA134,File Not Found,-1,-1,-1
FA,FA135,File Not Found,-1,-1,-1
FA,FA136,File Not Found,-1,-1,-1
FA,FA137,File Not Found,-1,-1,-1
FA,FA138,File Not Found,-1,-1,-1
FA,FA139,File Not Found,-1,-1,-1
FA,FA140,File Not Found,-1,-1,-1
FA,FA141,File Not Found,-1,-1,-1
FA,FA142,File Not Found,-1,-1,-1
FA,FA143,File Not Found,-1,-1,-1
FA,FA144,File Not Found,-1,-1,-1
FA,FA145,File Not Found,-1,-1,-1
FA,FA146,File Not Found,-1,-1,-1
FA,FA147,File Not Found,-1,-1,-1
FA,FA148,File Not Found,-1,-1,-1
FA,FA149,File Not Found,-1,-1,-1
FA,FA150,File Not Found,-1,-1,-1
FA,FA151,File Not Found,-1,-1,-1
FA,FA152,File Not Found,-1,-1,-1
FA,FA153,File Not Found,-1,-1,-1
FA,FA154,File Not Found,-1,-1,-1
FA,FA155,File Not Found,-1,-1,-1
FA,FA156,File Not Found,-1,-1,-1
FA,FA157,File Not Found,-1,-1,-1
FA,FA158,File Not Found,-1,-1,-1
FA,FA159,File Not Found,-1,-1,-1
FA,FA160,File Not Found,-1,-1,-1
FA,FA161,File Not Found,-1,-1,-1
FA,FA162,File Not Found,-1,-1,-1
FA,FA163,File Not Found,-1,-1,-1
FA,FA164,File Not Found,-1,-1,-1
FA,FA165,File Not Found,-1,-1,-1
FA,FA166,File Not Found,-1,-1,-1
FA,FA167,File Not Found,-1,-1,-1
FA,FA168,File Not Found,-1,-1,-1
FA,FA169,File Not Found,-1,-1,-1
FA,FA170,File Not Found,-1,-1,-1
FA,FA171,File Not Found,-1,-1,-1
FA,FA172,File Not Found,-1,-1,-1
FA,FA173,File Not Found,-1,-1,-1
FA,FA174,File Not Found,-1,-1,-1
FA,FA175,File Not Found,-1,-1,-1
FA,FA176,File Not Found,-1,-1,-1
FA,FA177,File Not Found,-1,-1,-1
FA,FA178,File Not Found,-1,-1,-1
FA,FA179,File Not Found,-1,-1,-1
FA,FA180,File Not Found,-1,-1,-1
FA,FA181,File Not Found,-1,-1,-1
FA,FA182,File Not Found,-1,-1,-1
FA,FA183,File Not Found,-1,-1,-1
FA,FA184,File Not Found,-1,-1,-1
FA,FA185,File Not Found,-1,-1,-1
FA,FA186,File Not Found,-1,-1,-1
FD,FD001,Success,138,1928,3346494
FD,FD002,Success,122,1640,2961378
FD,FD003,Success,108,1328,2616612
FD,FD004,Success,147,2136,3567220
FD,FD005,Success,202,3238,4903192
FD,FD006,Success,160,2362,3882314
FD,FD007,Success,257,4262,6238238
FD,FD008,Success,262,4400,6359182
FD,FD009,Success,124,1712,3006722
FD,FD010,Success,125,1698,3030606
FD,FD011,Success,128,1758,3106142
FD,FD012,Success,160,2432,3886042
FD,FD013,Success,151,2216,3664834
FD,FD014,Success,156,2282,3786048
FD,FD015,Success,139,1974,3373598
FD,FD016,Success,169,2538,4103180
FD,FD017,Success,156,2316,3786412
FD,FD018,Success,159,2376,3859900
FD,FD019,Success,2184,42876,177554336
FD,FD020,Success,556,10314,45209950
FD,FD021,Success,1288,24832,104712102
FD,FD022,Success,822,15638,66823148
FD,FD023,Success,966,18514,78525090
FD,FD024,Success,724,13674,58850970
FD,FD025,Success,1906,37352,154956662
FD,FD026,Success,1455,28262,118296128
FD,FD027,Success,449,8176,36494330
FD,FD028,Success,240,4000,19511628
FD,FD029,Success,831,15778,67548614
FD,FD030,Success,389,6974,31626990
FD,FD031,Success,824,15678,66997574
FD,FD032,Success,389,6942,31630636
FD,FD033,Success,532,9872,43258748
FD,FD034,Success,435,7900,35379152
FD,FD035,Success,809,15412,65777216
FD,FD036,Success,402,7208,32681346
FD,FD037,Success,359,6322,29190140
FD,FD038,Success,705,13264,57320250
FD,FD039,Success,596,11120,48466806
FD,FD040,Success,856,16286,69598718
FD,FD041,Success,1168,22482,94958226
FD,FD042,Success,1488,28958,286143698
FD,FD043,Success,683,12856,131332222
FD,FD044,Success,2146,42118,412660446
FD,FD045,Success,1263,24424,242864248
FD,FD046,Success,1742,33968,334973436
FD,FD047,Success,245,4056,47115930
FD,FD048,Success,328,5720,63074722
FD,FD049,Success,892,17038,171525790
FD,FD050,Success,4892,97072,940682258
FD,FD051,Success,425,7698,81725856
FD,FD052,Success,1094,21038,210370744
FD,FD053,Success,1268,24522,243842898
FD,FD054,Success,115,1418,22107842
FD,FD055,Success,555,10228,106732792
FD,FD056,Success,516,9486,99221192
FD,FD057,Success,1206,23286,452598618
FD,FD058,Success,1588,30958,595969400
FD,FD059,Success,1783,34854,669164870
FD,FD060,Success,2055,40260,771232588
FD,FD061,Success,641,11944,415558926
FD,FD062,Success,1430,27708,927098954
FD,FD063,Success,2085,40862,1351741322
FD,FD064,Success,1454,28174,942661186
FD,FD065,Success,7227,143738,4685218920
FD,FD066,Success,1144,22112,741655540
FD,FD067,Success,2185,42868,1416536416
FD,FD068,Success,1619,31516,1049593092
FD,FD069,Success,2743,54026,1778280144
FD,FD070,Success,2451,48252,1588978426
FD,FD071,Success,784,14810,508272262
FD,FD072,Success,1230,23698,797421494
FD,FD073,Success,2033,39854,1317988684
FD,FD074,Success,5046,100082,3271305978
FD,FD075,Success,4840,95996,3137761304
FD,FD076,Success,4746,94078,3076814988
FD,FD077,Success,1483,28820,961421910
FD,FD078,Success,2190,42922,2254152500
FD,FD079,Success,2233,43784,2298464032
FD,FD080,Success,1610,31336,1657190850
FD,FD081,Success,4575,90670,4709021586
FD,FD082,Success,4031,79780,4149088732
FD,FD083,Success,950,18160,977840038
FD,FD084,Success,1437,27868,1479095580
FD,FD085,File Not Found,-1,-1,-1
FD,FD086,Success,973,18562,1494831680
FD,FD087,Success,608,11320,934085496
FD,FD088,Success,570,10530,875705780
FD,FD089,Success,3664,72512,5628984096
FD,FD090,Success,25976,518654,39907320240
FD,FD091,Success,3833,75854,5888618742
FD,FD092,Success,4928,97682,7570819610
FD,FD093,Success,1362,26400,2092434948
FD,FD094,Success,765,14366,1175297036
FD,FD095,Success,1147,22062,1762130292
FD,FD096,Success,5803,115192,8915085350
FD,FD097,Success,2073,40588,3184826332
FD,FD098,Success,3375,66668,5185011850
FD,FD099,Success,2809,55344,4315469552
FD,FD100,Success,2290,44902,3518143296
FD,FD101,Success,932,17804,1431845996
FD,FD102,Success,1656,32314,2544124294
FD,FD103,Success,5073,100588,7793619166
FD,FD104,Success,14159,282148,26090424409
FD,FD105,Success,32728,653528,60306839020
FD,FD106,File Not Found,-1,-1,-1
FD,FD107,Success,4553,89992,9958755114
FD,FD108,File Not Found,-1,-1,-1
FD,FD109,Success,5189,102754,11349854120
FD,FD110,Success,10658,212008,23312229000
FD,FD111,Success,6956,138026,15214856960
FD,FD112,Success,4957,98114,14872495324
FD,FD113,Success,845,15876,2535265640
FD,FD114,Success,1028,19500,3084359138
FD,FD115,Success,42788,854696,128376221708
FD,FD116,File Not Found,-1,-1,-1
FD,FD117,Success,10471,208430,31416086198
FD,FD118,Success,2881,56590,8643826702
FD,FD119,Success,6307,125074,18922916090
FD,FD120,Success,9178,182528,27536785838
FD,FD121,Success,4011,79082,12034253310
FD,FD122,Success,4854,95984,14563483916
FD,FD123,Success,38194,762784,114593137644
FD,FD124,Success,253,3926,759075476
FD,FD125,Success,1812,35110,5436538772
FD,FD126,Success,5840,115720,17521796586
FD,FD127,Success,2555,50028,7665788976
FD,FD128,Success,6620,131280,19862044560
FD,FD129,Success,3591,70760,10774048704
