FA/FD/FR,Case No,status,time,commands,energy
FA,FA001,File Not Found,-1,-1,-1
FA,FA002,File Not Found,-1,-1,-1
FA,FA003,File Not Found,-1,-1,-1
FA,FA004,File Not Found,-1,-1,-1
FA,FA005,File Not Found,-1,-1,-1
FA,FA006,File Not Found,-1,-1,-1
FA,FA007,File Not Found,-1,-1,-1
FA,FA008,File Not Found,-1,-1,-1
FA,FA009,File Not Found,-1,-1,-1
FA,FA010,File Not Found,-1,-1,-1
FA,FA011,File Not Found,-1,-1,-1
FA,FA012,File Not Found,-1,-1,-1
FA,FA013,File Not Found,-1,-1,-1
FA,FA014,File Not Found,-1,-1,-1
FA,FA015,File Not Found,-1,-1,-1
FA,FA016,File Not Found,-1,-1,-1
FA,FA017,File Not Found,-1,-1,-1
FA,FA018,File Not Found,-1,-1,-1
FA,FA019,Success,1233,46106,101121908
FA,FA020,Success,418,13376,34200606
FA,FA021,Success,825,29658,67621926
FA,FA022,Success,562,19198,46035332
FA,FA023,Success,615,21386,50384490
FA,FA024,Success,496,16552,40615260
FA,FA025,Success,1075,39786,88149810
FA,FA026,Success,851,30828,69765532
FA,FA027,Success,356,10960,29114820
FA,FA028,Success,259,7010,21148806
FA,FA029,Success,552,18868,45210206
FA,FA030,Success,346,10502,28292410
FA,FA031,Success,562,19126,46027732
FA,FA032,Success,337,10048,27550574
FA,FA033,Success,403,12828,32975934
FA,FA034,Success,390,12394,31901886
FA,FA035,Success,559,19078,45783660
FA,FA036,Success,343,10364,28046634
FA,FA037,Success,348,10588,28453306
FA,FA038,Success,507,16856,41512316
FA,FA039,Success,489,16276,40029842
FA,FA040,Success,566,19354,46367040
FA,FA041,Success,719,25622,58934732
FA,FA042,Success,883,32038,170402336
FA,FA043,Success,481,15886,92767984
FA,FA044,Success,1281,48028,247269534
FA,FA045,Success,787,28270,151876516
FA,FA046,Success,1049,38670,202467344
FA,FA047,Success,262,7124,50475800
FA,FA048,Success,319,9406,61478926
FA,FA049,Success,580,19910,111897734
FA,FA050,Success,2681,104024,517612682
FA,FA051,Success,341,10424,65739366
FA,FA052,Success,711,25152,137186120
FA,FA053,Success,798,28636,153986680
FA,FA054,Success,184,3994,35414686
FA,FA055,Success,433,13976,83498850
FA,FA056,Success,404,12886,77904428
FA,FA057,Success,753,26904,283105014
FA,FA058,Success,976,35834,366977186
FA,FA059,Success,1049,38528,394418322
FA,FA060,Success,1217,45260,457617698
FA,FA061,Success,472,15524,306268536
FA,FA062,Success,897,32456,582129192
FA,FA063,Success,1174,43532,761943984
FA,FA064,Success,968,35246,628207530
FA,FA065,Success,3983,155980,2585243568
FA,FA066,Success,740,26314,480234200
FA,FA067,Success,1278,47840,829457490
FA,FA068,Success,995,36448,645762996
FA,FA069,Success,1560,58976,1012507312
FA,FA070,Success,1370,51588,889171708
FA,FA071,Success,542,18180,351705172
FA,FA072,Success,724,25684,469846916
FA,FA073,Success,1165,43314,756101156
FA,FA074,Success,2634,102222,1709652474
FA,FA075,File Not Found,-1,-1,-1
FA,FA076,Success,2535,98044,1645368288
FA,FA077,Success,867,31396,562670048
FA,FA078,Success,1299,48532,1338004132
FA,FA079,Success,1335,49976,1375065302
FA,FA080,Success,998,36504,1027932488
FA,FA081,Success,2507,96792,2582404040
FA,FA082,Success,2255,86914,2322796164
FA,FA083,Success,653,22692,672547740
FA,FA084,Success,883,32108,909478870
FA,FA085,Success,4587,179990,7050576994
FA,FA086,Success,664,23014,1020516740
FA,FA087,Success,461,15084,708495126
FA,FA088,Success,445,14590,683894440
FA,FA089,Success,2005,76986,3081803452
FA,FA090,Success,13693,544290,21047435020
FA,FA091,Success,2084,80222,3203233620
FA,FA092,Success,2630,101986,4042505356
FA,FA093,Success,827,29652,1271085328
FA,FA094,Success,565,19256,868344922
FA,FA095,Success,720,25368,1106594224
FA,FA096,Success,3217,125190,4944813266
FA,FA097,Success,1197,44670,1839805434
FA,FA098,Success,1806,69028,2775929538
FA,FA099,Success,1668,63230,2563792328
FA,FA100,Success,1331,49722,2045786714
FA,FA101,Success,644,22486,989788078
FA,FA102,Success,1004,36946,1543145942
FA,FA103,Success,2754,106728,4233116720
FA,FA104,Success,7323,289710,13499987375
FA,FA105,Success,16658,663108,30709056668
FA,FA106,Success,5676,223618,12419708744
FA,FA107,Success,2500,96486,5470141902
FA,FA108,Success,8454,334476,18498255694
FA,FA109,Success,2797,108530,6120097848
FA,FA110,Success,5739,226066,12557394510
FA,FA111,Success,3785,147972,8281876910
FA,FA112,Success,2643,102388,7931846880
FA,FA113,Success,552,18868,1656507152
FA,FA114,Success,682,23780,2046628064
FA,FA115,Success,21943,874358,65854025712
FA,FA116,Success,7684,303972,23060413744
FA,FA117,Success,5695,224312,17091273590
FA,FA118,Success,1564,59280,4693652180
FA,FA119,Success,3444,134550,10335740020
FA,FA120,Success,4856,190730,14573303190
FA,FA121,Success,2150,82430,6452268028
FA,FA122,Success,2601,100604,7805788300
FA,FA123,Success,19693,784252,59100676654
FA,FA124,Success,268,7236,804177940
FA,FA125,Success,1114,41148,3343127180
FA,FA126,Success,3163,123310,9492416176
FA,FA127,Success,1488,55968,4465546508
FA,FA128,Success,3609,140860,10830905074
FA,FA129,Success,2019,77342,6059166742
FA,FA130,Success,2432,94066,7298606260
FA,FA131,Success,2052,78540,6158143242
FA,FA132,Success,1795,68592,5386896844
FA,FA133,Success,2003,76846,6011133302
FA,FA134,Success,825,29594,2475797338
FA,FA135,Success,1329,49594,3988359948
FA,FA136,Success,2006,76898,6020113792
FA,FA137,Success,3842,150216,19921112012
FA,FA138,File Not Found,-1,-1,-1
FA,FA139,Success,7404,292878,38390527974
FA,FA140,Success,1444,54332,7487158438
FA,FA141,Success,2165,83040,11225669480
FA,FA142,Success,1442,54126,7476782372
FA,FA143,File Not Found,-1,-1,-1
FA,FA144,File Not Found,-1,-1,-1
FA,FA145,File Not Found,-1,-1,-1
FA,FA146,File Not Found,-1,-1,-1
FA,FA147,Success,2267,87248,11754558368
FA,FA148,Success,1170,43530,6066460330
FA,FA149,File Not Found,-1,-1,-1
FA,FA150,Success,4860,190916,25199489448
FA,FA151,File Not Found,-1,-1,-1
FA,FA152,Success,10544,418410,54671710500
FA,FA153,Success,3761,147226,19501109076
FA,FA154,Success,6027,237688,31250495098
FA,FA155,Success,1363,51102,7067171188
FA,FA156,Success,2197,84288,11391580602
FA,FA157,Success,5390,212388,35531399856
FA,FA158,Success,3964,155422,26131114588
FA,FA159,Success,2378,91434,19578213066
FA,FA160,File Not Found,-1,-1,-1
FA,FA161,File Not Found,-1,-1,-1
FA,FA162,File Not Found,-1,-1,-1
FA,FA163,File Not Found,-1,-1,-1
FA,FA164,File Not Found,-1,-1,-1
FA,FA165,File Not Found,-1,-1,-1
FA,FA166,File Not Found,-1,-1,-1
FA,FA167,File Not Found,-1,-1,-1
FA,FA168,Success,4262,166782,52376031362
FA,FA169,Success,13871,551262,170462148014
FA,FA170,File Not Found,-1,-1,-1
FA,FA171,Success,2722,105322,33450786670
FA,FA172,File Not Found,-1,-1,-1
FA,FA173,File Not Found,-1,-1,-1
FA,FA174,File Not Found,-1,-1,-1
FA,FA175,File Not Found,-1,-1,-1
FA,FA176,Success,14880,590818,260356751000
FA,FA177,File Not Found,-1,-1,-1
FA,FA178,File Not Found,-1,-1,-1
FA,FA179,File Not Found,-1,-1,-1
FA,FA180,File Not Found,-1,-1,-1
FA,FA181,File Not Found,-1,-1,-1
FA,FA182,File Not Found,-1,-1,-1
FA,FA183,File Not Found,-1,-1,-1
FA,FA184,File Not Found,-1,-1,-1
FA,FA185,File Not Found,-1,-1,-1
FA,FA186,File Not Found,-1,-1,-1
FD,FD001,File Not Found,-1,-1,-1
FD,FD002,File Not Found,-1,-1,-1
FD,FD003,File Not Found,-1,-1,-1
FD,FD004,File Not Found,-1,-1,-1
FD,FD005,File Not Found,-1,-1,-1
FD,FD006,File Not Found,-1,-1,-1
FD,FD007,File Not Found,-1,-1,-1
FD,FD008,File Not Found,-1,-1,-1
FD,FD009,File Not Found,-1,-1,-1
FD,FD010,File Not Found,-1,-1,-1
FD,FD011,File Not Found,-1,-1,-1
FD,FD012,File Not Found,-1,-1,-1
FD,FD013,File Not Found,-1,-1,-1
FD,FD014,File Not Found,-1,-1,-1
FD,FD015,File Not Found,-1,-1,-1
FD,FD016,File Not Found,-1,-1,-1
FD,FD017,File Not Found,-1,-1,-1
FD,FD018,File Not Found,-1,-1,-1
FD,FD019,Success,1233,46106,100595060
FD,FD020,Success,418,13376,34095582
FD,FD021,Success,825,29658,67316838
FD,FD022,Success,562,19198,45841412
FD,FD023,Success,615,21386,50154666
FD,FD024,Success,496,16552,40443036
FD,FD025,Success,1075,39786,87698802
FD,FD026,Success,851,30828,69428668
FD,FD027,Success,356,10960,29017380
FD,FD028,Success,259,7010,21113766
FD,FD029,Success,552,18868,45015326
FD,FD030,Success,346,10502,28222330
FD,FD031,Success,562,19126,45851668
FD,FD032,Success,337,10048,27485486
FD,FD033,Success,403,12828,32874198
FD,FD034,Success,390,12394,31837326
FD,FD035,Success,559,19078,45607932
FD,FD036,Success,343,10364,27969882
FD,FD037,Success,348,10588,28395874
FD,FD038,Success,507,16856,41361860
FD,FD039,Success,489,16276,39917522
FD,FD040,Success,566,19354,46175040
FD,FD041,Success,719,25622,58654340
FD,FD042,Success,883,32038,170049632
FD,FD043,Success,481,15886,92610616
FD,FD044,Success,1281,48028,246719742
FD,FD045,Success,787,28270,151558204
FD,FD046,Success,1049,38670,202023560
FD,FD047,Success,262,7124,50446400
FD,FD048,Success,319,9406,61425742
FD,FD049,Success,580,19910,111683390
FD,FD050,Success,2681,104024,516332714
FD,FD051,Success,341,10424,65654982
FD,FD052,Success,711,25152,136925216
FD,FD053,Success,798,28636,153695464
FD,FD054,Success,184,3994,35408998
FD,FD055,Success,433,13976,83392170
FD,FD056,Success,404,12886,77790236
FD,FD057,Success,753,26904,282803070
FD,FD058,Success,976,35834,366583490
FD,FD059,Success,1049,38528,393994290
FD,FD060,Success,1217,45260,457098722
FD,FD061,Success,472,15524,306126288
FD,FD062,Success,897,32456,581825472
FD,FD063,Success,1174,43532,761474160
FD,FD064,Success,968,35246,627899874
FD,FD065,Success,3983,155980,2583408936
FD,FD066,Success,740,26314,479961584
FD,FD067,Success,1278,47840,828914082
FD,FD068,Success,995,36448,645353412
FD,FD069,Success,1560,58976,1011807688
FD,FD070,Success,1370,51588,888563668
FD,FD071,Success,542,18180,351532108
FD,FD072,Success,724,25684,469573508
FD,FD073,Success,1165,43314,755600036
FD,FD074,Success,2634,102222,1708384578
FD,FD075,File Not Found,-1,-1,-1
FD,FD076,Success,2535,98044,1644187800
FD,FD077,Success,867,31396,562309712
FD,FD078,Success,1299,48532,1337443348
FD,FD079,Success,1335,49976,1374566558
FD,FD080,Success,998,36504,1027563800
FD,FD081,Success,2507,96792,2581195784
FD,FD082,Success,2255,86914,2321751132
FD,FD083,Success,653,22692,672331068
FD,FD084,Success,883,32108,909127462
FD,FD085,Success,4587,179990,7048377466
FD,FD086,Success,664,23014,1020310220
FD,FD087,Success,461,15084,708380142
FD,FD088,Success,445,14590,683798056
FD,FD089,Success,2005,76986,3080863924
FD,FD090,Success,13693,544290,21041267812
FD,FD091,Success,2084,80222,3202249476
FD,FD092,Success,2630,101986,4041198556
FD,FD093,Success,827,29652,1270746064
FD,FD094,Success,565,19256,868209490
FD,FD095,Success,720,25368,1106328232
FD,FD096,Success,3217,125190,4943232650
FD,FD097,Success,1197,44670,1839389970
FD,FD098,Success,1806,69028,2775076458
FD,FD099,Success,1668,63230,2563081616
FD,FD100,Success,1331,49722,2045233850
FD,FD101,Success,644,22486,989586862
FD,FD102,Success,1004,36946,1542760982
FD,FD103,Success,2754,106728,4231782200
FD,FD104,Success,7323,289710,13496147375
FD,FD105,Success,16658,663108,30700142084
FD,FD106,Success,5676,223618,12416868056
FD,FD107,Success,2500,96486,5468993742
FD,FD108,Success,8454,334476,18493987198
FD,FD109,Success,2797,108530,6118688136
FD,FD110,Success,5739,226066,12554725158
FD,FD111,Success,3785,147972,8280121886
FD,FD112,Success,2643,102388,7930597800
FD,FD113,Success,552,18868,1656334088
FD,FD114,Success,682,23780,2046460688
FD,FD115,Success,21943,874358,65841702000
FD,FD116,Success,7684,303972,23056866976
FD,FD117,Success,5695,224312,17088483350
FD,FD118,Success,1564,59280,4692886220
FD,FD119,Success,3444,134550,10334150284
FD,FD120,Success,4856,190730,14570981646
FD,FD121,Success,2150,82430,6451331164
FD,FD122,Success,2601,100604,7804596508
FD,FD123,Success,19693,784252,59090674630
FD,FD124,Success,268,7236,804150436
FD,FD125,Success,1114,41148,3342678476
FD,FD126,Success,3163,123310,9490977424
FD,FD127,Success,1488,55968,4464930692
FD,FD128,Success,3609,140860,10829273410
FD,FD129,Success,2019,77342,6058205374
FD,FD130,Success,2432,94066,7297517044
FD,FD131,Success,2052,78540,6157371786
FD,FD132,Success,1795,68592,5386129804
FD,FD133,Success,2003,76846,6010249790
FD,FD134,Success,825,29594,2475528778
FD,FD135,Success,1329,49594,3987830604
FD,FD136,Success,2006,76898,6019283344
FD,FD137,Success,3842,150216,19919271956
FD,FD138,File Not Found,-1,-1,-1
FD,FD139,Success,7404,292878,38386728654
FD,FD140,Success,1444,54332,7486655950
