FA/FD/FR,Case No,status,time,commands,energy
FA,FA001,File Not Found,-1,-1,-1
FA,FA002,File Not Found,-1,-1,-1
FA,FA003,Success,126,2754,3084694
FA,FA004,Failure,71,2118,1749830
FA,FA005,File Not Found,-1,-1,-1
FA,FA006,Failure,113,3944,2800796
FA,FA007,Failure,62,1758,1527990
FA,FA008,Success,300,9679,7422684
FA,FA009,File Not Found,-1,-1,-1
FA,FA010,Success,140,3314,3434484
FA,FA011,File Not Found,-1,-1,-1
FA,FA012,File Not Found,-1,-1,-1
FA,FA013,File Not Found,-1,-1,-1
FA,FA014,File Not Found,-1,-1,-1
FA,FA015,File Not Found,-1,-1,-1
FA,FA016,File Not Found,-1,-1,-1
FA,FA017,File Not Found,-1,-1,-1
FA,FA018,File Not Found,-1,-1,-1
FA,FA019,Success,1121,42405,91996410
FA,FA020,Failure,443,16923,36278550
FA,FA021,Failure,103,3360,8414430
FA,FA022,Failure,103,3360,8414430
FA,FA023,Success,1141,43205,93437716
FA,FA024,Success,1077,40645,88164838
FA,FA025,Success,1156,43842,94809542
FA,FA026,Success,1157,43872,94815472
FA,FA027,Success,565,20241,46236114
FA,FA028,Success,386,13066,31552862
FA,FA029,Success,1022,38445,83680466
FA,FA030,Success,651,23605,53251770
FA,FA031,Failure,168,5960,13731812
FA,FA032,Failure,42,920,3422044
FA,FA033,Failure,65,1830,5303948
FA,FA034,Failure,65,1830,5303964
FA,FA035,Failure,65,1830,5303940
FA,FA036,Failure,90,2840,7353860
FA,FA037,Failure,90,2840,7352412
FA,FA038,Failure,90,2840,7354058
FA,FA039,Failure,90,2840,7352638
FA,FA040,Failure,215,7840,17608764
FA,FA041,Failure,150,5240,12275350
FA,FA042,Failure,225,8148,43391860
FA,FA043,Failure,157,5443,30269674
FA,FA044,Failure,106,3337,20427144
FA,FA045,Failure,105,3332,20235228
FA,FA046,Failure,118,3852,22743844
FA,FA047,File Not Found,-1,-1,-1
FA,FA048,Failure,265,9697,51091572
FA,FA049,Failure,153,5175,29488190
FA,FA050,Failure,152,5184,29328808
FA,FA051,Failure,217,7777,41841956
FA,FA052,Failure,137,4648,26412776
FA,FA053,Failure,493,18765,95052980
FA,FA054,File Not Found,-1,-1,-1
FA,FA055,Failure,134,4565,25832030
FA,FA056,Failure,112,3623,21581914
FA,FA057,Failure,737,28504,277050812
FA,FA058,Failure,1047,40868,393573552
FA,FA059,Failure,362,13574,136088974
FA,FA060,Failure,2370,93834,890893432
FA,FA061,Failure,217,7582,140810566
FA,FA062,Failure,117,3597,75890798
FA,FA063,Failure,98,2894,63568036
FA,FA064,Failure,148,4899,96005342
FA,FA065,Success,4717,185951,3061542970
FA,FA066,Failure,389,14439,252407238
FA,FA067,Failure,195,6679,126501774
FA,FA068,Failure,216,7558,140130400
FA,FA069,Failure,88,2412,57075200
FA,FA070,Success,1756,67589,1139649608
FA,FA071,Failure,88,2447,57077990
FA,FA072,Failure,725,27911,470469792
FA,FA073,Failure,2423,95814,1572341392
FA,FA074,Failure,1961,77348,1272772242
FA,FA075,Failure,1592,62538,1033176222
FA,FA076,Failure,3354,133073,2176780016
FA,FA077,Failure,475,17871,308254362
FA,FA078,Failure,599,22811,616873532
FA,FA079,Failure,790,30467,813567752
FA,FA080,Failure,486,18317,500483680
FA,FA081,Failure,217,7571,223460038
FA,FA082,Failure,687,26386,707504620
FA,FA083,Failure,150,4869,154455588
FA,FA084,Failure,2476,97881,2549991562
FA,FA085,Success,9486,376344,14579497630
FA,FA086,Failure,453,16820,696174878
FA,FA087,File Not Found,-1,-1,-1
FA,FA088,File Not Found,-1,-1,-1
FA,FA089,Failure,519,19528,797701914
FA,FA090,Failure,418,15528,642367876
FA,FA091,Failure,2464,97290,3787265192
FA,FA092,Failure,505,18963,776175660
FA,FA093,Failure,1035,40248,1590693226
FA,FA094,Failure,92,2290,141360536
FA,FA095,Failure,289,10326,444133446
FA,FA096,Failure,523,19693,803757912
FA,FA097,Failure,74,1733,113701602
FA,FA098,Failure,3094,122486,4755275830
FA,FA099,Failure,1408,54993,2163843030
FA,FA100,Failure,901,34603,1384728584
FA,FA101,Failure,127,3883,195156046
FA,FA102,Failure,360,13131,553313216
FA,FA103,Success,7637,302493,11737402910
FA,FA104,Failure,1038,40142,1913509548
FA,FA105,Failure,1125,43731,2073768825
FA,FA106,Failure,500,18607,1093919802
FA,FA107,Failure,8355,332644,18279696218
FA,FA108,Failure,1571,61500,3437249790
FA,FA109,Failure,512,19157,1120237468
FA,FA110,Failure,2451,96516,5362791304
FA,FA111,Failure,1561,61140,3415258384
FA,FA112,Failure,394,14350,1182327954
FA,FA113,Success,1314,49262,3943125094
FA,FA114,File Not Found,-1,-1,-1
FA,FA115,Failure,932,35842,2797000924
FA,FA116,Failure,363,13110,1089270224
FA,FA117,Failure,509,18881,1527402504
FA,FA118,Success,2589,100505,7769535828
FA,FA119,Failure,188,6160,564130060
FA,FA120,Failure,441,16260,1323339854
FA,FA121,Failure,279,9566,837207536
FA,FA122,Failure,1038,40137,3114875344
FA,FA123,Failure,4421,175464,13267205974
FA,FA124,Failure,93,2440,279052448
FA,FA125,Failure,427,15522,1281383740
FA,FA126,Failure,1314,51167,3943149966
FA,FA127,Failure,169,5368,507115258
FA,FA128,Failure,230,7805,690166150
FA,FA129,Failure,178,5667,534124770
FA,FA130,Failure,188,6039,564132032
FA,FA131,Failure,170,5445,510119308
FA,FA132,Failure,132,3913,396087528
FA,FA133,Failure,192,6253,576136208
FA,FA134,Failure,164,5039,492107362
FA,FA135,Failure,264,9166,792201246
FA,FA136,Failure,205,6852,615151968
FA,FA137,Failure,13813,550886,71618027724
FA,FA138,Failure,3480,137463,18043222134
FA,FA139,Failure,606,22721,3142032240
FA,FA140,Failure,1416,55132,7341687084
FA,FA141,Failure,97,2080,502892994
FA,FA142,File Not Found,-1,-1,-1
FA,FA143,Failure,250,8421,1296182786
FA,FA144,Failure,1181,45681,6123642206
FA,FA145,Failure,231,7602,1197666036
FA,FA146,Failure,4518,179056,23425344496
FA,FA147,Failure,855,32646,4433263488
FA,FA148,Failure,402,14295,2084261212
FA,FA149,Failure,4469,177257,23171517802
FA,FA150,Failure,854,32642,4427836844
FA,FA151,Failure,2960,116593,15347347644
FA,FA152,Failure,115,3160,596227212
FA,FA153,Success,6029,237930,31260387064
FA,FA154,Failure,528,19471,2737553946
FA,FA155,Failure,462,17020,2395363002
FA,FA156,Failure,824,31425,4272285884
FA,FA157,Failure,3668,144756,24179127038
FA,FA158,Failure,2520,98877,16611651206
FA,FA159,Failure,2536,99376,20878472410
FA,FA160,Failure,3285,129257,27045188600
FA,FA161,Failure,2043,79742,16819975738
FA,FA162,Failure,1140,43618,9385449096
FA,FA163,Failure,720,26972,5927649918
FA,FA164,Failure,222,7018,2247896466
FA,FA165,Failure,946,35881,9579109304
FA,FA166,File Not Found,-1,-1,-1
FA,FA167,Failure,1882,73264,23127908462
FA,FA168,Failure,691,25694,8491569086
FA,FA169,Failure,254,8245,3121328254
FA,FA170,Failure,3005,118315,36928075024
FA,FA171,Failure,537,19492,6599055388
FA,FA172,Failure,918,34796,11281098272
FA,FA173,Failure,7088,281205,124019384384
FA,FA174,Failure,9340,371330,163423197596
FA,FA175,Failure,13955,555955,244172488894
FA,FA176,Failure,2655,104016,46454099136
FA,FA177,Success,22896,911947,400610648060
FA,FA178,Failure,5397,213634,94430639860
FA,FA179,Failure,1380,52960,24145667660
FA,FA180,Failure,1346,51590,23550795636
FA,FA181,Failure,289,9153,6936190278
FA,FA182,Failure,299,9560,7176200172
FA,FA183,Failure,243,7416,5832155968
FA,FA184,Failure,394,13392,9456285268
FA,FA185,Failure,4251,167329,102027845910
FA,FA186,Failure,27747,1107160,886376983174
FD,FD186,File Not Found,-1,-1,-1
FD,FD185,File Not Found,-1,-1,-1
FD,FD184,File Not Found,-1,-1,-1
FD,FD183,File Not Found,-1,-1,-1
FD,FD182,File Not Found,-1,-1,-1
FD,FD181,File Not Found,-1,-1,-1
FD,FD180,File Not Found,-1,-1,-1
FD,FD179,File Not Found,-1,-1,-1
FD,FD178,File Not Found,-1,-1,-1
FD,FD177,File Not Found,-1,-1,-1
FD,FD176,File Not Found,-1,-1,-1
FD,FD175,File Not Found,-1,-1,-1
FD,FD174,File Not Found,-1,-1,-1
FD,FD173,File Not Found,-1,-1,-1
FD,FD172,File Not Found,-1,-1,-1
FD,FD171,File Not Found,-1,-1,-1
FD,FD170,File Not Found,-1,-1,-1
FD,FD169,File Not Found,-1,-1,-1
FD,FD168,File Not Found,-1,-1,-1
FD,FD167,File Not Found,-1,-1,-1
FD,FD166,File Not Found,-1,-1,-1
FD,FD165,File Not Found,-1,-1,-1
FD,FD164,File Not Found,-1,-1,-1
FD,FD163,File Not Found,-1,-1,-1
FD,FD162,File Not Found,-1,-1,-1
FD,FD161,File Not Found,-1,-1,-1
FD,FD160,File Not Found,-1,-1,-1
FD,FD159,File Not Found,-1,-1,-1
FD,FD158,File Not Found,-1,-1,-1
FD,FD157,File Not Found,-1,-1,-1
FD,FD156,File Not Found,-1,-1,-1
FD,FD155,File Not Found,-1,-1,-1
FD,FD154,File Not Found,-1,-1,-1
FD,FD153,File Not Found,-1,-1,-1
FD,FD152,File Not Found,-1,-1,-1
FD,FD151,File Not Found,-1,-1,-1
FD,FD150,File Not Found,-1,-1,-1
FD,FD149,File Not Found,-1,-1,-1
FD,FD148,File Not Found,-1,-1,-1
FD,FD147,File Not Found,-1,-1,-1
FD,FD146,File Not Found,-1,-1,-1
FD,FD145,File Not Found,-1,-1,-1
FD,FD144,File Not Found,-1,-1,-1
FD,FD143,File Not Found,-1,-1,-1
FD,FD142,File Not Found,-1,-1,-1
FD,FD141,File Not Found,-1,-1,-1
FD,FD140,File Not Found,-1,-1,-1
FD,FD139,File Not Found,-1,-1,-1
FD,FD138,File Not Found,-1,-1,-1
FD,FD137,File Not Found,-1,-1,-1
FD,FD136,File Not Found,-1,-1,-1
FD,FD135,File Not Found,-1,-1,-1
FD,FD134,File Not Found,-1,-1,-1
FD,FD133,File Not Found,-1,-1,-1
FD,FD132,File Not Found,-1,-1,-1
FD,FD131,File Not Found,-1,-1,-1
FD,FD130,File Not Found,-1,-1,-1
FD,FD129,File Not Found,-1,-1,-1
FD,FD128,File Not Found,-1,-1,-1
FD,FD127,File Not Found,-1,-1,-1
FD,FD126,File Not Found,-1,-1,-1
FD,FD125,File Not Found,-1,-1,-1
FD,FD124,File Not Found,-1,-1,-1
FD,FD123,File Not Found,-1,-1,-1
FD,FD122,File Not Found,-1,-1,-1
FD,FD121,File Not Found,-1,-1,-1
FD,FD120,File Not Found,-1,-1,-1
FD,FD119,File Not Found,-1,-1,-1
FD,FD118,File Not Found,-1,-1,-1
FD,FD117,File Not Found,-1,-1,-1
FD,FD116,File Not Found,-1,-1,-1
FD,FD115,File Not Found,-1,-1,-1
FD,FD114,File Not Found,-1,-1,-1
FD,FD113,File Not Found,-1,-1,-1
FD,FD112,File Not Found,-1,-1,-1
FD,FD111,File Not Found,-1,-1,-1
FD,FD110,File Not Found,-1,-1,-1
FD,FD109,File Not Found,-1,-1,-1
FD,FD108,File Not Found,-1,-1,-1
FD,FD107,File Not Found,-1,-1,-1
FD,FD106,File Not Found,-1,-1,-1
FD,FD105,File Not Found,-1,-1,-1
FD,FD104,File Not Found,-1,-1,-1
FD,FD103,File Not Found,-1,-1,-1
FD,FD102,File Not Found,-1,-1,-1
FD,FD101,File Not Found,-1,-1,-1
FD,FD100,File Not Found,-1,-1,-1
FD,FD099,File Not Found,-1,-1,-1
FD,FD098,File Not Found,-1,-1,-1
FD,FD097,File Not Found,-1,-1,-1
FD,FD096,File Not Found,-1,-1,-1
FD,FD095,File Not Found,-1,-1,-1
FD,FD094,File Not Found,-1,-1,-1
FD,FD093,File Not Found,-1,-1,-1
FD,FD092,File Not Found,-1,-1,-1
FD,FD091,File Not Found,-1,-1,-1
FD,FD090,File Not Found,-1,-1,-1
FD,FD089,File Not Found,-1,-1,-1
FD,FD088,File Not Found,-1,-1,-1
FD,FD087,File Not Found,-1,-1,-1
FD,FD086,File Not Found,-1,-1,-1
FD,FD085,File Not Found,-1,-1,-1
FD,FD084,File Not Found,-1,-1,-1
FD,FD083,File Not Found,-1,-1,-1
FD,FD082,File Not Found,-1,-1,-1
FD,FD081,File Not Found,-1,-1,-1
FD,FD080,File Not Found,-1,-1,-1
FD,FD079,File Not Found,-1,-1,-1
FD,FD078,File Not Found,-1,-1,-1
FD,FD077,File Not Found,-1,-1,-1
FD,FD076,File Not Found,-1,-1,-1
FD,FD075,File Not Found,-1,-1,-1
FD,FD074,File Not Found,-1,-1,-1
FD,FD073,File Not Found,-1,-1,-1
FD,FD072,File Not Found,-1,-1,-1
FD,FD071,File Not Found,-1,-1,-1
FD,FD070,File Not Found,-1,-1,-1
FD,FD069,File Not Found,-1,-1,-1
FD,FD068,File Not Found,-1,-1,-1
FD,FD067,File Not Found,-1,-1,-1
FD,FD066,File Not Found,-1,-1,-1
FD,FD065,File Not Found,-1,-1,-1
FD,FD064,File Not Found,-1,-1,-1
FD,FD063,File Not Found,-1,-1,-1
FD,FD062,File Not Found,-1,-1,-1
FD,FD061,File Not Found,-1,-1,-1
FD,FD060,File Not Found,-1,-1,-1
