FA/FD/FR,Case No,status,time,commands,energy
FA,FA001,File Not Found,-1,-1,-1
FA,FA002,File Not Found,-1,-1,-1
FA,FA003,File Not Found,-1,-1,-1
FA,FA004,File Not Found,-1,-1,-1
FA,FA005,File Not Found,-1,-1,-1
FA,FA006,File Not Found,-1,-1,-1
FA,FA007,File Not Found,-1,-1,-1
FA,FA008,File Not Found,-1,-1,-1
FA,FA009,File Not Found,-1,-1,-1
FA,FA010,File Not Found,-1,-1,-1
FA,FA011,File Not Found,-1,-1,-1
FA,FA012,File Not Found,-1,-1,-1
FA,FA013,File Not Found,-1,-1,-1
FA,FA014,File Not Found,-1,-1,-1
FA,FA015,File Not Found,-1,-1,-1
FA,FA016,File Not Found,-1,-1,-1
FA,FA017,File Not Found,-1,-1,-1
FA,FA018,File Not Found,-1,-1,-1
FA,FA019,File Not Found,-1,-1,-1
FA,FA020,File Not Found,-1,-1,-1
FA,FA021,File Not Found,-1,-1,-1
FA,FA022,File Not Found,-1,-1,-1
FA,FA023,File Not Found,-1,-1,-1
FA,FA024,File Not Found,-1,-1,-1
FA,FA025,File Not Found,-1,-1,-1
FA,FA026,File Not Found,-1,-1,-1
FA,FA027,File Not Found,-1,-1,-1
FA,FA028,File Not Found,-1,-1,-1
FA,FA029,File Not Found,-1,-1,-1
FA,FA030,File Not Found,-1,-1,-1
FA,FA031,File Not Found,-1,-1,-1
FA,FA032,File Not Found,-1,-1,-1
FA,FA033,File Not Found,-1,-1,-1
FA,FA034,File Not Found,-1,-1,-1
FA,FA035,File Not Found,-1,-1,-1
FA,FA036,File Not Found,-1,-1,-1
FA,FA037,File Not Found,-1,-1,-1
FA,FA038,File Not Found,-1,-1,-1
FA,FA039,File Not Found,-1,-1,-1
FA,FA040,File Not Found,-1,-1,-1
FA,FA041,File Not Found,-1,-1,-1
FA,FA042,File Not Found,-1,-1,-1
FA,FA043,File Not Found,-1,-1,-1
FA,FA044,File Not Found,-1,-1,-1
FA,FA045,File Not Found,-1,-1,-1
FA,FA046,File Not Found,-1,-1,-1
FA,FA047,File Not Found,-1,-1,-1
FA,FA048,File Not Found,-1,-1,-1
FA,FA049,File Not Found,-1,-1,-1
FA,FA050,File Not Found,-1,-1,-1
FA,FA051,File Not Found,-1,-1,-1
FA,FA052,File Not Found,-1,-1,-1
FA,FA053,File Not Found,-1,-1,-1
FA,FA054,File Not Found,-1,-1,-1
FA,FA055,File Not Found,-1,-1,-1
FA,FA056,File Not Found,-1,-1,-1
FA,FA057,File Not Found,-1,-1,-1
FA,FA058,File Not Found,-1,-1,-1
FA,FA059,File Not Found,-1,-1,-1
FA,FA060,File Not Found,-1,-1,-1
FA,FA061,File Not Found,-1,-1,-1
FA,FA062,File Not Found,-1,-1,-1
FA,FA063,File Not Found,-1,-1,-1
FA,FA064,File Not Found,-1,-1,-1
FA,FA065,File Not Found,-1,-1,-1
FA,FA066,File Not Found,-1,-1,-1
FA,FA067,File Not Found,-1,-1,-1
FA,FA068,File Not Found,-1,-1,-1
FA,FA069,File Not Found,-1,-1,-1
FA,FA070,File Not Found,-1,-1,-1
FA,FA071,File Not Found,-1,-1,-1
FA,FA072,File Not Found,-1,-1,-1
FA,FA073,File Not Found,-1,-1,-1
FA,FA074,File Not Found,-1,-1,-1
FA,FA075,File Not Found,-1,-1,-1
FA,FA076,File Not Found,-1,-1,-1
FA,FA077,File Not Found,-1,-1,-1
FA,FA078,File Not Found,-1,-1,-1
FA,FA079,File Not Found,-1,-1,-1
FA,FA080,File Not Found,-1,-1,-1
FA,FA081,File Not Found,-1,-1,-1
FA,FA082,File Not Found,-1,-1,-1
FA,FA083,File Not Found,-1,-1,-1
FA,FA084,File Not Found,-1,-1,-1
FA,FA085,File Not Found,-1,-1,-1
FA,FA086,File Not Found,-1,-1,-1
FA,FA087,File Not Found,-1,-1,-1
FA,FA088,File Not Found,-1,-1,-1
FA,FA089,File Not Found,-1,-1,-1
FA,FA090,File Not Found,-1,-1,-1
FA,FA091,File Not Found,-1,-1,-1
FA,FA092,File Not Found,-1,-1,-1
FA,FA093,File Not Found,-1,-1,-1
FA,FA094,File Not Found,-1,-1,-1
FA,FA095,File Not Found,-1,-1,-1
FA,FA096,File Not Found,-1,-1,-1
FA,FA097,File Not Found,-1,-1,-1
FA,FA098,File Not Found,-1,-1,-1
FA,FA099,File Not Found,-1,-1,-1
FA,FA100,File Not Found,-1,-1,-1
FA,FA101,File Not Found,-1,-1,-1
FA,FA102,File Not Found,-1,-1,-1
FA,FA103,File Not Found,-1,-1,-1
FA,FA104,File Not Found,-1,-1,-1
FA,FA105,File Not Found,-1,-1,-1
FA,FA106,File Not Found,-1,-1,-1
FA,FA107,File Not Found,-1,-1,-1
FA,FA108,File Not Found,-1,-1,-1
FA,FA109,File Not Found,-1,-1,-1
FA,FA110,File Not Found,-1,-1,-1
FA,FA111,File Not Found,-1,-1,-1
FA,FA112,File Not Found,-1,-1,-1
FA,FA113,File Not Found,-1,-1,-1
FA,FA114,File Not Found,-1,-1,-1
FA,FA115,File Not Found,-1,-1,-1
FA,FA116,File Not Found,-1,-1,-1
FA,FA117,File Not Found,-1,-1,-1
FA,FA118,File Not Found,-1,-1,-1
FA,FA119,File Not Found,-1,-1,-1
FA,FA120,File Not Found,-1,-1,-1
FA,FA121,File Not Found,-1,-1,-1
FA,FA122,File Not Found,-1,-1,-1
FA,FA123,File Not Found,-1,-1,-1
FA,FA124,File Not Found,-1,-1,-1
FA,FA125,File Not Found,-1,-1,-1
FA,FA126,File Not Found,-1,-1,-1
FA,FA127,File Not Found,-1,-1,-1
FA,FA128,File Not Found,-1,-1,-1
FA,FA129,File Not Found,-1,-1,-1
FA,FA130,File Not Found,-1,-1,-1
FA,FA131,File Not Found,-1,-1,-1
FA,FA132,File Not Found,-1,-1,-1
FA,FA133,File Not Found,-1,-1,-1
FA,FA134,File Not Found,-1,-1,-1
FA,FA135,File Not Found,-1,-1,-1
FA,FA136,File Not Found,-1,-1,-1
FA,FA137,File Not Found,-1,-1,-1
FA,FA138,File Not Found,-1,-1,-1
FA,FA139,File Not Found,-1,-1,-1
FA,FA140,File Not Found,-1,-1,-1
FA,FA141,File Not Found,-1,-1,-1
FA,FA142,File Not Found,-1,-1,-1
FA,FA143,File Not Found,-1,-1,-1
FA,FA144,File Not Found,-1,-1,-1
FA,FA145,File Not Found,-1,-1,-1
FA,FA146,File Not Found,-1,-1,-1
FA,FA147,File Not Found,-1,-1,-1
FA,FA148,File Not Found,-1,-1,-1
FA,FA149,File Not Found,-1,-1,-1
FA,FA150,File Not Found,-1,-1,-1
FA,FA151,File Not Found,-1,-1,-1
FA,FA152,File Not Found,-1,-1,-1
FA,FA153,File Not Found,-1,-1,-1
FA,FA154,File Not Found,-1,-1,-1
FA,FA155,File Not Found,-1,-1,-1
FA,FA156,File Not Found,-1,-1,-1
FA,FA157,File Not Found,-1,-1,-1
FA,FA158,File Not Found,-1,-1,-1
FA,FA159,File Not Found,-1,-1,-1
FA,FA160,File Not Found,-1,-1,-1
FA,FA161,File Not Found,-1,-1,-1
FA,FA162,File Not Found,-1,-1,-1
FA,FA163,File Not Found,-1,-1,-1
FA,FA164,File Not Found,-1,-1,-1
FA,FA165,File Not Found,-1,-1,-1
FA,FA166,File Not Found,-1,-1,-1
FA,FA167,File Not Found,-1,-1,-1
FA,FA168,File Not Found,-1,-1,-1
FA,FA169,File Not Found,-1,-1,-1
FA,FA170,File Not Found,-1,-1,-1
FA,FA171,File Not Found,-1,-1,-1
FA,FA172,File Not Found,-1,-1,-1
FA,FA173,File Not Found,-1,-1,-1
FA,FA174,File Not Found,-1,-1,-1
FA,FA175,File Not Found,-1,-1,-1
FA,FA176,File Not Found,-1,-1,-1
FA,FA177,File Not Found,-1,-1,-1
FA,FA178,File Not Found,-1,-1,-1
FA,FA179,File Not Found,-1,-1,-1
FA,FA180,File Not Found,-1,-1,-1
FA,FA181,File Not Found,-1,-1,-1
FA,FA182,File Not Found,-1,-1,-1
FA,FA183,File Not Found,-1,-1,-1
FA,FA184,File Not Found,-1,-1,-1
FA,FA185,File Not Found,-1,-1,-1
FA,FA186,File Not Found,-1,-1,-1
FD,FD001,Success,16,76,382419
FD,FD002,Success,16,72,389412
FD,FD003,Success,17,83,408244
FD,FD004,Success,18,85,437689
FD,FD005,Success,18,86,427434
FD,FD006,Success,16,76,383678
FD,FD007,Success,18,85,420554
FD,FD008,Success,16,76,368634
FD,FD009,Success,16,76,383392
FD,FD010,Success,17,83,405694
FD,FD011,Success,16,72,387863
FD,FD012,Success,18,86,435942
FD,FD013,Success,16,72,386714
FD,FD014,Success,18,86,435033
FD,FD015,Success,16,72,388679
FD,FD016,Success,18,86,434337
FD,FD017,Success,18,86,434463
FD,FD018,Success,18,86,434448
FD,FD019,Success,20,95,1359244
FD,FD020,Success,20,95,1622884
FD,FD021,Success,20,95,1497844
FD,FD022,Success,20,95,1567324
FD,FD023,Success,20,95,1547244
FD,FD024,Success,20,95,1583244
FD,FD025,Success,20,95,1409004
FD,FD026,Success,20,95,1480344
FD,FD027,Success,18,85,1432384
FD,FD028,Success,18,85,1471384
FD,FD029,Success,20,95,1566724
FD,FD030,Success,20,95,1644724
FD,FD031,Success,20,95,1576124
FD,FD032,Success,20,95,1645484
FD,FD033,Success,20,95,1624939
FD,FD034,Success,20,95,1648174
FD,FD035,Success,20,95,1578694
FD,FD036,Success,20,95,1640470
FD,FD037,Success,20,95,1652545
FD,FD038,Success,20,95,1596849
FD,FD039,Success,20,95,1620684
FD,FD040,Success,20,95,1561689
FD,FD041,Success,20,95,1506444
FD,FD042,Success,71,879,34307766
FD,FD043,Success,49,396,18016149
FD,FD044,Success,71,866,34164831
FD,FD045,Success,70,853,34124394
FD,FD046,Success,70,853,34045974
FD,FD047,Success,53,423,30935661
FD,FD048,Success,45,260,29395040
FD,FD049,Success,71,896,22276448
FD,FD050,Success,126,1868,44346410
FD,FD051,Success,45,260,29385128
FD,FD052,Success,55,467,31241980
FD,FD053,Success,67,823,21426480
FD,FD054,Success,41,322,16518219
FD,FD055,Success,52,422,30722537
FD,FD056,Success,59,707,19965601
FD,FD057,Success,96,1322,76621412
FD,FD058,Success,71,871,70526668
FD,FD059,Success,70,857,66740224
FD,FD060,Success,73,927,71280347
FD,FD061,Success,61,508,115440315
FD,FD062,Success,64,530,117305933
FD,FD063,Success,62,506,115819418
FD,FD064,Success,64,541,117359873
FD,FD065,Success,175,2718,188457905
FD,FD066,Success,68,832,73280821
FD,FD067,Success,68,841,73208188
FD,FD068,Success,52,433,62754892
FD,FD069,Success,61,518,115228259
FD,FD070,Success,70,898,74287198
FD,FD071,Success,53,434,63540458
FD,FD072,Success,65,796,71307547
FD,FD073,Success,74,925,117892569
FD,FD074,Success,106,1521,97359610
FD,FD075,Success,117,1689,151383809
FD,FD076,Success,162,2472,180440814
FD,FD077,Success,51,410,62082560
FD,FD078,Success,73,810,186118550
FD,FD079,Success,83,940,270636887
FD,FD080,Success,74,811,196546918
FD,FD081,Success,115,2030,229036665
FD,FD082,Success,92,1462,214802415
FD,FD083,Success,75,818,197726624
FD,FD084,Success,117,1657,305875517
FD,FD085,Success,241,6508,660143695
FD,FD086,Success,64,357,388590845
FD,FD087,Success,65,358,390124343
FD,FD088,Success,76,814,296444862
FD,FD089,Success,96,2009,216294799
FD,FD090,Success,228,6067,638266154
FD,FD091,Success,93,1940,211610848
FD,FD092,Success,93,1918,211433706
FD,FD093,Success,83,926,404188086
FD,FD094,Success,89,1130,427493567
FD,FD095,Success,67,715,171993455
FD,FD096,Success,121,2749,365734738
FD,FD097,Success,109,2369,333605874
FD,FD098,Success,109,2324,236531871
FD,FD099,Success,123,2737,479843714
FD,FD100,Success,98,1664,316520601
FD,FD101,Success,81,1257,193598185
FD,FD102,Success,97,2077,218204167
FD,FD103,Success,134,3134,482574781
FD,FD104,Success,163,3993,647848151
FD,FD105,Success,247,6708,799501874
FD,FD106,Success,173,4375,791822803
FD,FD107,Success,247,3956,953799700
FD,FD108,Success,161,4006,744579635
FD,FD109,Success,122,2712,680436881
FD,FD110,Success,149,3669,581013983
FD,FD111,Success,206,4164,863834056
FD,FD112,Success,123,2631,692631489
FD,FD113,Success,98,1943,429102975
FD,FD114,Success,104,1410,1068040240
FD,FD115,Success,381,12727,3190498530
FD,FD116,Success,215,5647,1400816758
FD,FD117,Success,231,6709,2259161298
FD,FD118,Success,170,4410,1076815664
FD,FD119,Success,103,1408,1064623739
FD,FD120,Success,192,5332,1737059612
FD,FD121,Success,110,2783,464771895
FD,FD122,Success,145,3268,758958257
FD,FD123,Success,334,10907,2591529051
FD,FD124,Success,75,956,360034335
FD,FD125,Success,130,2895,1146879144
FD,FD126,Success,133,2307,1154848063
FD,FD127,Success,105,2060,666179172
FD,FD128,Success,140,3829,743931626
FD,FD129,Success,127,3331,705190417
FD,FD130,Success,200,5431,1707452064
FD,FD131,Success,130,3470,741937468
FD,FD132,Success,127,3392,705420269
FD,FD133,Success,123,3337,693249890
FD,FD134,Success,124,3289,696473542
FD,FD135,Success,121,3127,498173199
FD,FD136,Success,128,3428,924465035
FD,FD137,Success,237,6901,4869849334
FD,FD138,Success,242,7293,4709472249
FD,FD139,Success,241,7651,2555263145
FD,FD140,Success,107,1465,1907997895
